City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
331,Bhubaneswar,IN,78.8,haze,20.2333,85.8333,Bhubaneswar
332,Tapes,BR,73.98,overcast clouds,-30.6733,-51.3958,"Tapes, Rio Grande do Sul"
334,Kapit,MY,73.78,light rain,2.0167,112.9333,Kapit
335,Srandakan,ID,77.86,overcast clouds,-7.9386,110.2506,Bantul
338,Bajil,YE,80.17,scattered clouds,15.0584,43.2851,باجل
339,Pecos,US,75.2,clear sky,31.4229,-103.4932,Pecos
340,Naica,MX,87.84,scattered clouds,27.85,-105.4833,Naica
344,Wanning,CN,74.55,broken clouds,18.8003,110.3967,Wanning
345,Alvorada,BR,77.61,scattered clouds,-12.48,-49.1247,Alvorada
346,Pascagoula,US,73.4,clear sky,30.3658,-88.5561,Pascagoula
348,Morondava,MG,77.13,overcast clouds,-20.2833,44.2833,Morondava
349,Samarai,PG,82.45,overcast clouds,-10.6167,150.6667,Sidudu
350,Road Town,VG,78.8,few clouds,18.4167,-64.6167,Road Town
353,Banes,CU,87.8,scattered clouds,20.9625,-75.7186,Banes
354,Harper,LR,80.58,overcast clouds,4.375,-7.7169,Harper
359,Pauini,BR,71.06,overcast clouds,-7.7136,-66.9764,Pauini
361,Banda Aceh,ID,78.91,broken clouds,5.5577,95.3222,Banda Aceh
362,Cidreira,BR,75.24,overcast clouds,-30.1811,-50.2056,CIDREIRA
363,Sao Jose Da Coroa Grande,BR,77.92,overcast clouds,-8.8978,-35.1478,São José da Coroa Grande
364,Luwuk,ID,78.55,overcast clouds,-0.9516,122.7875,Luwuk
367,Paita,PE,78.8,few clouds,-5.0892,-81.1144,Paita District
372,Sao Joao Da Barra,BR,74.61,clear sky,-21.6403,-41.0511,Grussaí
373,Quang Ngai,VN,73.26,broken clouds,15.1167,108.8,Quảng Ngãi
376,Karratha,AU,83.17,broken clouds,-20.7377,116.8463,Karratha
377,Coahuayana,MX,86,clear sky,18.7333,-103.6833,Coahuayana de Hidalgo
378,Marakkanam,IN,80.31,clear sky,12.2,79.95,Mandavai
379,Hobyo,SO,82.13,clear sky,5.3505,48.5268,Hobyo
381,Ahipara,NZ,71.83,clear sky,-35.1667,173.1667,Ahipara
382,Andros Town,BS,78.8,scattered clouds,24.7,-77.7667,Andros Town
387,Oranjestad,AW,82.4,few clouds,12.524,-70.027,Oranjestad
389,Sainte-Marie,RE,75.2,overcast clouds,-20.8968,55.5496,Sainte-Clotilde
391,Saint-Pierre,RE,78.8,overcast clouds,-21.3393,55.4781,Saint Pierre
394,Goderich,CA,75.2,overcast clouds,43.7501,-81.7165,Goderich
395,Sao Miguel Do Araguaia,BR,76.03,clear sky,-13.275,-50.1628,São Miguel do Araguaia
397,Sao Lourenco Do Sul,BR,73.99,overcast clouds,-31.3653,-51.9783,São Lourenço do Sul
398,Caravelas,BR,74.46,clear sky,-17.7125,-39.2481,Caravelas
399,Dhidhdhoo,MV,82.51,clear sky,6.8833,73.1,Dhidhdhoo
402,Moron,AR,71.01,overcast clouds,-34.6534,-58.6198,Morón
403,Macapa,BR,75.2,light rain,0.0389,-51.0664,Macapá
405,Farroupilha,BR,75,overcast clouds,-29.225,-51.3478,Farroupilha
406,West Bay,KY,84.2,few clouds,19.3667,-81.4167,West Bay
408,Sao Miguel,BR,77,scattered clouds,-5.4667,-35.3667,Dom Marcolino
410,Umarga,IN,79.84,overcast clouds,17.8333,76.6167,Omerga
412,Neiafu,TO,80.6,few clouds,-18.65,-173.9833,Neiafu
413,Guatire,VE,78.8,scattered clouds,10.4762,-66.5427,Guatire
417,Cabo San Lucas,MX,78.8,few clouds,22.8909,-109.9124,Cabo San Lucas
418,Santa Cruz Cabralia,BR,77,few clouds,-16.2781,-39.0247,Santa Cruz Cabrália
422,Aitape,PG,79.5,overcast clouds,-3.1374,142.3475,Aitape
423,Correntina,BR,77.79,overcast clouds,-13.3433,-44.6367,Correntina
425,Cap Malheureux,MU,80.01,overcast clouds,-19.9842,57.6142,Grand Baie
428,Emerald,AU,75.99,overcast clouds,-23.5333,148.1667,Emerald
432,Xuddur,SO,74.3,light rain,4.1213,43.8894,Xuddur
438,Yenagoa,NG,78.57,broken clouds,4.9247,6.2642,Yenagoa
439,Scottsbluff,US,70,clear sky,41.8666,-103.6672,Scottsbluff
441,Razole,IN,77.11,broken clouds,16.4833,81.8333,Tatipaka
442,Ca Mau,VN,79.99,few clouds,9.1769,105.15,Cà Mau
444,Kintampo,GH,81.63,moderate rain,8.0563,-1.7306,Kintampo
446,Victoria,HK,71.01,broken clouds,22.2855,114.1577,Hong Kong
448,Sao Filipe,CV,75.24,few clouds,14.8961,-24.4956,Sao Filipe
454,Sharjah,AE,84.2,clear sky,25.3573,55.4033,Sharjah
458,Puerto Leguizamo,CO,75.45,overcast clouds,-0.1934,-74.7819,Puerto Leguízamo
460,Sola,VU,80.89,overcast clouds,-13.8833,167.55,Sola
461,Englewood,US,70,clear sky,39.6478,-104.9878,Englewood
462,Los Teques,VE,78.8,scattered clouds,10.3445,-67.0433,Los Teques
464,Praya,CV,73.4,clear sky,14.9215,-23.5087,Praia
471,Mamou,GN,77.4,broken clouds,10.5,-12,Herekoumba
474,Kandrian,PG,75.92,light rain,-6.2167,149.55,Kandrian
476,Oistins,BB,78.8,volcanic ash,13.0667,-59.5333,Bridgetown
477,Naliya,IN,76.8,clear sky,23.2667,68.8333,Naliya
478,Koulikoro,ML,85.62,clear sky,14,-7.75,Kenyanbougou
484,Champoton,MX,95,scattered clouds,19.35,-90.7167,Champoton
485,Sume,BR,71.53,broken clouds,-7.6717,-36.88,Sumé
487,Meadow Lake,US,78.01,few clouds,34.8014,-106.5436,Meadow Lake
488,Santa Rosa,PH,80.01,scattered clouds,14.3122,121.1114,Santa Rosa
489,Bang Saphan,TH,75.29,scattered clouds,11.2126,99.5117,Kamnoet Nopphakhun
499,Show Low,US,71.6,clear sky,34.2542,-110.0298,Show Low
500,Ransang,PH,78.93,overcast clouds,8.9603,117.5828,Rizal
501,Sibolga,ID,75.31,broken clouds,1.7427,98.7792,Sibolga
504,Ambilobe,MG,72.52,overcast clouds,-13.2,49.05,Ambilobe
505,Manuk Mangkaw,PH,82.24,overcast clouds,4.8,119.85,Simunul
516,Picos,BR,82.53,overcast clouds,-7.0769,-41.4669,Picos
517,Rio Grande,BR,73.99,overcast clouds,-32.035,-52.0986,Rio Grande
521,Adrar,MR,78.98,clear sky,20.5022,-10.0711,
523,Manaure,CO,84.58,broken clouds,11.7751,-72.4445,Manaure
524,Keti Bandar,PK,79.2,clear sky,24.1447,67.4497,Keti Bandar
526,Salalah,OM,80.6,few clouds,17.0151,54.0924,Salalah
529,Varadero,CU,87.8,scattered clouds,23.1536,-81.2514,Varadero
530,Kollo,NE,91.4,clear sky,13.3043,2.339,Kollo
533,Meulaboh,ID,76.91,broken clouds,4.1363,96.1285,Meulaboh
535,Atar,MR,81.12,clear sky,20.5169,-13.0499,Atar
537,Port Keats,AU,83.98,few clouds,-14.25,129.55,Thamarrurr
538,Prainha,BR,75.67,light rain,-1.8,-53.48,Prainha
540,Ravar,IR,71.02,broken clouds,31.2656,56.8055,Ravar
541,Vargem Grande,BR,74.77,light rain,-3.5431,-43.9158,Vargem Grande
545,Mackay,AU,79,clear sky,-21.15,149.2,Mackay
548,Phangnga,TH,82,few clouds,8.4509,98.5298,Thai Chang
550,San Andres,CO,82.4,overcast clouds,12.5847,-81.7006,San Andrés
552,Chiang Khong,TH,71.6,clear sky,20.2613,100.4046,Huay Xai
556,Amuntai,ID,74.7,overcast clouds,-2.4177,115.2494,Amuntai
559,Pochutla,MX,86,few clouds,15.7432,-96.4661,Pochutla District
566,Saltpond,GH,80.96,broken clouds,5.2091,-1.0606,Saltpond
567,Kaeo,NZ,70,scattered clouds,-35.1,173.7833,Kaeo
568,Riberalta,BO,87.8,broken clouds,-10.9833,-66.1,Riberalta
572,Inhambane,MZ,72.84,clear sky,-23.865,35.3833,Maxixe
573,Grand-Santi,GF,73.81,moderate rain,4.25,-54.3833,Grand-Santi
577,Charters Towers,AU,80.47,clear sky,-20.1,146.2667,Charters Towers
580,Masingbi,SL,80.1,broken clouds,8.7833,-11.95,Masingbi
581,Bowen,AU,77,scattered clouds,-20.0167,148.2333,Bowen
582,Mazamari,PE,71.82,overcast clouds,-11.3258,-74.5308,Urb Barrio Sector 1
583,Sao Jose De Ribamar,BR,77,broken clouds,-2.5619,-44.0542,São José de Ribamar
586,Itaituba,BR,74.98,overcast clouds,-4.2761,-55.9836,Itaituba
588,Mabay,PH,78.94,overcast clouds,6.0577,124.4666,Maitum
589,Galle,LK,78.55,clear sky,6.0367,80.217,Galle
591,Kawhia,NZ,73,broken clouds,-38.0651,174.8183,Kawhia
596,Mahibadhoo,MV,82.8,few clouds,3.7833,72.9667,Omadhoo
597,Betma,IN,79.09,few clouds,22.6833,75.6167,Kalibillod
600,Salta,AR,75.2,scattered clouds,-24.7859,-65.4117,Salta
601,Alugan,PH,80.13,broken clouds,12.2188,125.4808,San Policarpo
602,Itaqui,BR,79.41,clear sky,-29.1253,-56.5531,Itaqui
606,Wanlaweyn,SO,80.35,broken clouds,2.6185,44.8938,Wanlaweyn
608,Avera,US,71.6,scattered clouds,33.194,-82.5271,Avera
609,Hambantota,LK,75.2,scattered clouds,6.1241,81.1185,Hambantota
612,Greenville,US,77,clear sky,35.6127,-77.3663,Greenville
613,Kikwit,CD,72.27,overcast clouds,-5.041,18.8162,Kikwit
614,Bluefields,NI,80.6,scattered clouds,12.0137,-83.7635,Bluefields
616,Fomboni,KM,83.52,overcast clouds,-12.28,43.7425,Fomboni
620,Bundaberg,AU,73.4,broken clouds,-24.85,152.35,Bundaberg
622,Honiara,SB,82.56,overcast clouds,-9.4333,159.95,Honiara
624,Gandai,IN,80.6,few clouds,21.6667,81.1,Gandai
626,Roebourne,AU,82.83,broken clouds,-20.7833,117.1333,Roebourne
627,Namatanai,PG,80.94,light rain,-3.6667,152.4333,Namatanai
628,Garmsar,IR,73.74,overcast clouds,35.2182,52.3409,Garmsār
632,Vilhena,BR,71.6,few clouds,-12.7406,-60.1458,Vilhena
635,Huron,US,77,light rain,41.1501,-82.5499,Olena
638,Yamoussoukro,CI,78.8,moderate rain,6.8206,-5.2767,Yamoussoukro
639,Fare,PF,82.2,scattered clouds,-16.7,-151.0167,Fare
