City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
90,Albany,US,42.6001,-73.9662,75,58,35,1.01,scattered clouds,2022-08-10 22:45
91,Imbituba,BR,-28.24,-48.6703,77,88,0,2.3,light rain,2022-08-10 22:45
92,Yellowknife,CA,62.456,-114.3525,10.99,48,40,10.36,scattered clouds,2022-08-10 22:40
93,Nikolskoye,RU,59.7035,30.7861,37,74,0,6.71,clear sky,2022-08-10 22:45
94,Necochea,AR,-38.5473,-58.7368,59,91,100,4,light rain,2022-08-10 22:36
95,Bemidji,US,47.4736,-94.8803,53.01,50,75,6.91,broken clouds,2022-08-10 22:45
96,Beloha,MG,-25.1667,45.05,69.73,97,5,5.66,clear sky,2022-08-10 22:35
97,Port Alfred,ZA,-33.5906,26.891,70.34,90,90,1.95,overcast clouds,2022-08-10 22:45
98,Wuzhou,CN,23.4833,111.3167,67.75,85,77,2.48,broken clouds,2022-08-10 22:41
99,Pringsewu,ID,-5.3582,104.9744,74.43,95,100,0.4,overcast clouds,2022-08-10 22:45
100,Hobart,AU,-42.8794,147.3294,44.6,81,75,18.41,moderate rain,2022-08-10 22:45
101,Provideniya,RU,64.3833,-173.3,2.77,77,100,22.79,overcast clouds,2022-08-10 22:44
102,Bereznik,RU,62.8551,42.7072,40.15,78,98,13.35,overcast clouds,2022-08-10 22:45
103,Katangli,RU,51.7102,143.2326,36.21,78,50,8.68,scattered clouds,2022-08-10 22:45
104,Mpika,ZM,-11.8343,31.4529,59.22,94,100,6.89,light rain,2022-08-10 22:45
105,Najran,SA,17.4924,44.1277,73.4,18,0,3.62,clear sky,2022-08-10 22:42
106,Tiksi,RU,71.6872,128.8694,-8.66,93,41,5.59,scattered clouds,2022-08-10 22:45
107,Peniche,PT,39.3558,-9.3811,59,91,8,3,clear sky,2022-08-10 22:45
108,Kabanjahe,ID,3.1001,98.4908,75.2,100,20,2.3,mist,2022-08-10 22:45
109,Grindavik,IS,63.8424,-22.4338,33.8,100,90,11.5,overcast clouds,2022-08-10 22:45
110,Shetpe,KZ,44.1667,52.1167,65.95,27,23,14.85,few clouds,2022-08-10 22:45
111,Fort Carson,US,38.7375,-104.7889,64.99,13,75,9.22,broken clouds,2022-08-10 22:45
112,Namibe,AO,-15.1961,12.1522,78.75,71,27,4.23,light rain,2022-08-10 22:45
113,Pag,HR,44.445,15.0575,50,76,20,6.91,few clouds,2022-08-10 22:45
114,Balkanabat,TM,39.5108,54.3671,73.72,16,73,17.72,broken clouds,2022-08-10 22:45
